,SPY,M0,M1,M2,M3,M4,M5,M6,M7,M_Unified
2023-11-29 00:00:00+00:00,2.70633543833047,2.5687135636948497,2.546536326052945,2.5164510574913885,2.485966857895227,2.5628303356432043,2.5628303356432043,2.5628303356432043,0.9133853616512719,1.5083578178365162
2023-11-30 00:00:00+00:00,2.753619936162414,2.5737496551363157,2.5548851022906125,2.524742250061567,2.4937293304215844,2.567802559353457,2.567802559353457,2.567802559353457,0.9138559757992342,1.5107106808020634
2023-12-01 00:00:00+00:00,2.76539715104196,2.570256399236856,2.5489527126698563,2.518667425914232,2.489143730067882,2.564394658059058,2.564394658059058,2.564394658059058,0.9149512235554781,1.5121469844865219
2023-12-04 00:00:00+00:00,2.7815836519167383,2.566343679430744,2.5475102564550087,2.5173881851591404,2.4862585670815402,2.560436462552734,2.560436462552734,2.560436462552734,0.9085025224736898,1.5065354847844736
2023-12-05 00:00:00+00:00,2.79803010269734,2.5627643618672162,2.5401310673679864,2.5100706199537366,2.479905720056094,2.556808427942927,2.556808427942927,2.556808427942927,0.9021162076068314,1.4990792554315016
2023-12-06 00:00:00+00:00,2.779657680482009,2.563584603069234,2.5383724751929613,2.508171379047487,2.47890136526869,2.557661616837615,2.557661616837615,2.557661616837615,0.90201900963109,1.503426137388239
2023-12-07 00:00:00+00:00,2.7191380704793047,2.5701686339066883,2.546676017312221,2.5162692006496754,2.4867567487441073,2.5642826757999684,2.5642826757999684,2.5642826757999684,0.9086905772980275,1.5122689710009756
2023-12-08 00:00:00+00:00,2.7597290889556017,2.567562235401633,2.540580699166105,2.5104823527791864,2.482194778887928,2.5616745411532817,2.5616745411532817,2.5616745411532817,0.908467594031542,1.5128962533405237
2023-12-11 00:00:00+00:00,2.7637272742440127,2.569577179594098,2.541569811125525,2.511435293877772,2.4833232662565896,2.5636457493264846,2.5636457493264846,2.5636457493264846,0.9067287505851909,1.5102096391172408
2023-12-12 00:00:00+00:00,2.711463172806516,2.567973461635743,2.5417641559556143,2.5116994945539206,2.4823940220895766,2.5620473571053215,2.5620473571053215,2.5620473571053215,0.9042089650348605,1.508113087214485
2023-12-13 00:00:00+00:00,2.67952829896486,2.5685177224102893,2.5461761752038443,2.5162376692831048,2.4848104652471137,2.562608978861631,2.562608978861631,2.562608978861631,0.9041534187196865,1.5033577039528967
2023-12-14 00:00:00+00:00,2.650972128168009,2.5784209847137216,2.556295335580653,2.5262512779099344,2.4946918029670146,2.5724767872892107,2.5724767872892107,2.5724767872892107,0.9064256557325799,1.507294205853481
2023-12-15 00:00:00+00:00,2.5973266792423386,2.5693154831054845,2.5532805866032295,2.5229612183174597,2.4898408579117532,2.563397117221869,2.563397117221869,2.563397117221869,0.9049224935699003,1.504692737910014
2023-12-18 00:00:00+00:00,2.625486669985414,2.555823849265855,2.5447189890454793,2.5142900732417153,2.47946243400736,2.549959380472003,2.549959380472003,2.549959380472003,0.9024967399899081,1.5014652113555973
2023-12-19 00:00:00+00:00,2.686874937718377,2.565137139604703,2.5516328962176176,2.5209958412908806,2.4869603020506825,2.559273815786745,2.559273815786745,2.559273815786745,0.904499784546764,1.5041750208756839
2023-12-20 00:00:00+00:00,2.6798031776345206,2.563794255625907,2.5457617287341785,2.5153185041309873,2.482892243768028,2.5579402726653573,2.5579402726653573,2.5579402726653573,0.904518175053298,1.5056200072266985
2023-12-21 00:00:00+00:00,2.7038808445490075,2.5692216377544552,2.545067127952805,2.5149975112566705,2.4846465296023994,2.563369674054074,2.563369674054074,2.563369674054074,0.9057085690313109,1.5079647500637676
2023-12-22 00:00:00+00:00,2.661099446657274,2.5701716814245197,2.5451258063285245,2.515015702529108,2.4853438103072234,2.5643361435074046,2.5643361435074046,2.5643361435074046,0.9068698974635359,1.509028193351767
